"","Predictor","Improvement","Pvalue","Accuracy","ROC"
"1","trueskill_mu",0.0179153407915504,9.74548350916403e-21,0.505766263178946,0.51791534079155
"2","trueskill_sigma",0.029882323115813,3.21886086593051e-33,0.517094209085283,0.529882323115813
"3","attack_range",0.0325336887255636,3.21100046571375e-31,0.517288143162905,0.532533688725564
"4","projectile_speed",0.029109312269941,1.32433791810653e-26,0.514128917254911,0.529109312269941
"5","attack_rate",0.0306645845952999,1.4052047118371e-32,0.516761091949273,0.5306645845953
"6","move_speed",0.00451789783477752,0.000789181526609578,0.500318101327596,0.504517897834778
"7","turn_rate",0.0233986104104146,6.48162085920448e-26,0.509144702321682,0.523398610410415
"8","base_health",0.000454811245654198,1.29483127479034e-11,0.500291047466092,0.500454811245654
"9","base_health_regen",0.0138615791580331,9.20649859269174e-17,0.500734904290461,0.513861579158033
"10","base_mana",0.000454811245654198,1.29483127479034e-11,0.500291047466092,0.500454811245654
"11","base_mana_regen",0.0189959635427614,1.0495715552674e-19,0.502092948524746,0.518995963542761
"12","base_armor",0.0133548075781519,2.19355058524613e-18,0.502614640821128,0.513354807578152
"13","base_mr",0.000454811245654198,1.29483127479034e-11,0.500291047466092,0.500454811245654
"14","base_attack_min",0.0301743981630692,1.1787736492683e-29,0.515892335232451,0.530174398163069
"15","base_attack_max",0.0197558550037864,5.8909663401919e-22,0.504764191696121,0.519755855003786
"16","base_str",0.00979575414463285,3.11237071570172e-09,0.500412364295639,0.509795754144633
"17","base_agi",0.0251522354394923,2.28814138791157e-27,0.51231315157412,0.525152235439492
"18","base_int",0.0277316068734383,1.21971784474653e-29,0.51519698851697,0.527731606873438
"19","str_gain",0.0275353846267696,1.03781469106293e-25,0.512442977352062,0.52753538462677
"20","agi_gain",0.0224839426525644,1.32008816243153e-23,0.509194964637598,0.522483942652564
"21","int_gain",0.0348240730783516,1.02242960623052e-38,0.519495123019852,0.534824073078352
