"","Predictor","Improvement","Pvalue","Accuracy","ROC"
"1","trueskill_mu",0.0162129191957296,2.69373694162004e-22,0.507038728876317,0.51621291919573
"2","trueskill_sigma",0.0287270647117487,1.07435074612771e-29,0.517350708435511,0.528727064711749
"3","attack_range",0.0322221847962472,2.82333956062863e-33,0.517579901032754,0.532222184796247
"4","projectile_speed",0.0288542592619642,2.64347222921071e-26,0.514938199083859,0.528854259261964
"5","attack_rate",0.031972673721513,6.85677952185263e-35,0.520358845011598,0.531972673721513
"6","move_speed",0.00273310253371664,0.00678979995915457,0.50036057374055,0.502733102533717
"7","turn_rate",0.0229338945202469,1.06839441773141e-23,0.509903225016189,0.522933894520247
"8","base_health",0.000580276526677055,4.06377093144197e-15,0.500365364828606,0.500580276526677
"9","base_health_regen",0.0161206260329007,7.77583978134806e-14,0.50268422720584,0.516120626032901
"10","base_mana",0.000580276526677055,4.06377093144197e-15,0.500365364828606,0.500580276526677
"11","base_mana_regen",0.0192923470617531,6.15087938714179e-24,0.505573901337117,0.519292347061753
"12","base_armor",0.0138558125614401,7.15555886884255e-15,0.50439927517473,0.51385581256144
"13","base_mr",0.000580276526677055,4.06377093144197e-15,0.500365364828606,0.500580276526677
"14","base_attack_min",0.0302227497834264,2.12987802273418e-28,0.515767831514434,0.530222749783426
"15","base_attack_max",0.0194287028127035,3.40957712434618e-18,0.506241193441796,0.519428702812704
"16","base_str",0.0103459338497417,2.47730408419364e-13,0.501473223430202,0.510345933849742
"17","base_agi",0.025821344108497,8.55859511231782e-27,0.515076384076701,0.525821344108497
"18","base_int",0.0279813700480796,1.07734189818146e-24,0.517527377678148,0.52798137004808
"19","str_gain",0.0272307292946168,2.79533768115737e-32,0.514203684959371,0.527230729294617
"20","agi_gain",0.0229197217813706,3.21532726940732e-26,0.511657802860672,0.522919721781371
"21","int_gain",0.0337238288698029,5.46603900445625e-32,0.519586260211478,0.533723828869803
